hi Parisa
         8087408 function calls (7989965 primitive calls) in 1849.719 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       48    0.000    0.000    0.001    0.000 __init__.py:1042(_open_file_or_url)
        1    0.001    0.001    0.033    0.033 __init__.py:106(<module>)
       24    0.003    0.000    0.017    0.001 __init__.py:1060(_rc_params_in_file)
       44    0.000    0.000    0.000    0.000 __init__.py:1071(_fixupParents)
        1    0.000    0.000    0.006    0.006 __init__.py:109(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:109(cpu_count)
        1    0.000    0.000    0.000    0.000 __init__.py:1095(_fixupChildren)
        3    0.000    0.000    0.460    0.153 __init__.py:11(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1112(Logger)
       45    0.000    0.000    0.000    0.000 __init__.py:1127(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:113(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:1136(ExtractionError)
       24    0.000    0.000    0.020    0.001 __init__.py:1137(rc_params_from_file)
        2    0.000    0.000    0.000    0.000 __init__.py:1139(setLevel)
      436    0.000    0.000    0.001    0.000 __init__.py:1145(debug)
        1    0.000    0.000    0.000    0.000 __init__.py:1152(ResourceManager)
        1    0.000    0.000    0.000    0.000 __init__.py:1156(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:1157(info)
        1    0.000    0.000    0.001    0.001 __init__.py:1181(resource_string)
        1    0.000    0.000    0.003    0.003 __init__.py:127(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:1298(addHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1314(rc_context)
        1    0.001    0.001    0.001    0.001 __init__.py:134(<module>)
      440    0.000    0.000    0.000    0.000 __init__.py:1346(getEffectiveLevel)
      440    0.000    0.000    0.001    0.000 __init__.py:1360(isEnabledFor)
       78    0.000    0.000    0.001    0.000 __init__.py:1373(safe_name)
       94    0.000    0.000    0.003    0.000 __init__.py:1381(safe_version)
        1    0.000    0.000    0.000    0.000 __init__.py:1387(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1393(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:14(UnsupportedFunctionCall)
        1    0.000    0.000    0.000    0.000 __init__.py:14(__init__)
       18    0.000    0.000    0.000    0.000 __init__.py:14(search_path)
        1    0.000    0.000    0.000    0.000 __init__.py:1401(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:1423(get_backend)
        1    0.000    0.000    0.000    0.000 __init__.py:1437(is_interactive)
        1    0.000    0.000    0.000    0.000 __init__.py:1439(NullProvider)
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:1446(__init__)
       37    0.000    0.000    0.000    0.000 __init__.py:145(signature)
        1    0.000    0.000    0.001    0.001 __init__.py:1456(get_resource_string)
       41    0.000    0.000    0.000    0.000 __init__.py:1462(has_metadata)
       11    0.000    0.000    0.000    0.000 __init__.py:1466(get_metadata)
       11    0.000    0.000    0.000    0.000 __init__.py:1476(get_metadata_lines)
        2    0.002    0.001    0.051    0.025 __init__.py:15(<module>)
       53    0.000    0.000    0.000    0.000 __init__.py:1528(_fn)
        1    0.000    0.000    0.000    0.000 __init__.py:1543(EggProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1546(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1550(_setup_prefix)
        1    0.000    0.000    0.000    0.000 __init__.py:156(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:1564(DefaultProvider)
       41    0.000    0.000    0.000    0.000 __init__.py:1567(_has)
       46    0.000    0.000    0.001    0.000 __init__.py:1567(getLogger)
       12    0.000    0.000    0.001    0.000 __init__.py:1579(_get)
        1    0.000    0.000    0.000    0.000 __init__.py:1583(_register)
        1    0.000    0.000    0.000    0.000 __init__.py:1592(EmptyProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1600(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1606(ZipManifests)
        3    0.000    0.000    0.000    0.000 __init__.py:161(compare_versions)
        1    0.000    0.000    0.000    0.000 __init__.py:1633(MemoizedZipManifests)
        1    0.000    0.000    0.000    0.000 __init__.py:165(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:1653(ContextualZipFile)
       39    0.000    0.000    0.000    0.000 __init__.py:1658(unpack_labeled_data)
       14    0.000    0.000    0.000    0.000 __init__.py:166(iteritems)
        1    0.000    0.000    0.000    0.000 __init__.py:1673(ZipProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1689(NullHandler)
        1    0.002    0.002    0.004    0.004 __init__.py:169(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:169(c_ushort)
       39    0.000    0.000    0.001    0.000 __init__.py:1696(param)
        1    0.002    0.002    0.294    0.294 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:17(register)
        2    0.000    0.000    0.000    0.000 __init__.py:1705(createLock)
        1    0.001    0.001    0.007    0.007 __init__.py:173(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:173(c_long)
       50    0.000    0.000    0.000    0.000 __init__.py:177(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:177(c_ulong)
        1    0.000    0.000    0.021    0.021 __init__.py:18(pylab_setup)
        1    0.000    0.000    0.000    0.000 __init__.py:1841(FileMetadata)
       10    0.000    0.000    0.000    0.000 __init__.py:1853(__init__)
       15    0.000    0.000    0.000    0.000 __init__.py:1856(has_metadata)
       10    0.000    0.000    0.000    0.000 __init__.py:1859(get_metadata)
